country.value,indicator,date,value,countryiso3code
India,SL.UEM.TOTL.ZS,2010,7.652,IND
India,GC.DOD.TOTL.GD.ZS,2010,51.5919103003897,IND
India,BN.CAB.XOKA.GD.ZS,2010,-3.25348368945179,IND
India,NY.GDP.MKTP.KD.ZG,2011,5.24131619937695,IND
India,FP.CPI.TOTL.ZG,2011,8.91179336483371,IND
India,SL.UEM.TOTL.ZS,2011,7.616,IND
India,GC.DOD.TOTL.GD.ZS,2011,51.5565536600977,IND
India,BN.CAB.XOKA.GD.ZS,2011,-3.42928468606061,IND
India,NY.GDP.MKTP.KD.ZG,2012,5.45638755166587,IND
India,FP.CPI.TOTL.ZG,2012,9.47899691419801,IND
India,SL.UEM.TOTL.ZS,2012,7.666,IND
India,GC.DOD.TOTL.GD.ZS,2012,50.6780305618952,IND
India,BN.CAB.XOKA.GD.ZS,2012,-5.00488971805303,IND
India,NY.GDP.MKTP.KD.ZG,2013,6.38610640094825,IND
India,FP.CPI.TOTL.ZG,2013,10.0178784746102,IND
India,SL.UEM.TOTL.ZS,2013,7.711,IND
India,GC.DOD.TOTL.GD.ZS,2013,50.3118273627008,IND
India,BN.CAB.XOKA.GD.ZS,2013,-2.64566711733892,IND
India,NY.GDP.MKTP.KD.ZG,2014,7.41022760508854,IND
India,FP.CPI.TOTL.ZG,2014,6.66565671867899,IND
